"evidence_order","evidence_id","qa_count_for_evidence","run","question_type","question","option_A","option_B","option_C","option_D","option_E","model_correct_letter","model_answer","review_status","reviewer_answer","answer_correct","evidence_grounded","asker_alone_answerable","two_user_needed","wording_formality","error_tags","reviewer_notes","reviewed_at","qa_id","source_file","required_users","attempt_count","judge_video_source","video_1_user","video_1_url","video_2_user","video_2_url","generator_rationale","evidence_claims","referred_timestamps","single_user_answerability","combined_answerability","why_two_users_needed","review_key"
"11","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15480000_A4_A6_0-1","1","experiment","neutral","When I was arranging the flowers at the table, I noticed someone standing near the whiteboard looking at their phone. Which of us was that?","The person wearing the black jacket and beige shorts","The person wearing the grey t-shirt and beige shorts","The person wearing the red vest","The person wearing the pink shirt","The person wearing the white shirt","A","The person wearing the black jacket and beige shorts","Fail","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A1
asker alone clearly sees","2026-07-31T19:21:22.933Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15480000_A4_A6_0-1","qa_mcq.jsonl","Lucia | Shure","1","full","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY4/DAY4_A4_LUCIA_15480000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY4/DAY4_A6_SHURE_15480000.mp4","This is a natural first-person information need where the asker is focused on a task (flower arranging) and is aware of someone else's presence but cannot identify them due to occlusion. The evidence provider has a clear line of sight to the person in question.","Lucia: Lucia is seated at the table working with flowers; her view is obstructed by the table and floral arrangements, so she cannot see the person standing by the whiteboard. [15:48:10 to 15:48:20] | Shure: Shure's camera clearly shows a person wearing a black jacket and beige shorts standing next to the whiteboard and looking down at a phone. [15:48:15 to 15:48:22]","Shure @ 15s: Shure captures the person in the black jacket standing by the whiteboard. | Lucia @ 12s: Lucia is focused on arranging flowers, unable to see the background clearly.","{""Lucia"":""insufficient because the asker is seated at a table with floral arrangements blocking the view of the room's periphery, specifically the area near the whiteboard."",""Shure"":""sufficient because the evidence provider's view is unobstructed and clearly shows the person standing by the whiteboard and their clothing.""}","sufficient because the asker's view establishes the context of the activity (flower arranging) and the limitation of their perspective, while the evidence provider's view supplies the specific visual detail (clothing of the person by the whiteboard) needed to answer the question.","Lucia's view is limited by the table and flowers, making it impossible to identify the person standing further back in the room. Shure's view, taken from a different angle or location, clearly shows the person's attire, allowing for identification.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15480000_A4_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15480000_A4_A6_0-1"
"12","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15520000_A4_A6_0-1","1","experiment","neutral","I was busy arranging flowers at the table with the checkered cloth. Later, I saw someone standing in the doorway near the red fire extinguisher. What were they wearing?","A black jacket and white shorts","A blue plaid shirt and jeans","A white shirt and light-colored pants","A red vest and white pants","A pink top and dark skirt","A","A black jacket and white shorts","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E2/A2
Was red refrigerator, not fire ext.","2026-07-31T19:23:11.931Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15520000_A4_A6_0-1","qa_mcq.jsonl","Lucia | Shure","1","full","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY4/DAY4_A4_LUCIA_15520000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY4/DAY4_A6_SHURE_15520000.mp4","This question arises naturally from a shared environment where one person (Lucia) is focused on a task (arranging flowers) and another person (Shure) has a different field of view that captures a specific detail (a person entering/standing in the doorway) that Lucia misses. It requires cross-view verification of a specific visual detail (clothing) in a specific location (doorway with fire extinguisher).","Lucia: Lucia is seated at a table with a checkered cloth, arranging flowers. Other people are visible in the room, but no one is standing in the doorway. [15:52:00 - 15:52:29] | Shure: Shure's camera captures a person standing in a doorway next to a red fire extinguisher. The person is wearing a black jacket and white shorts. [15:52:29]","Lucia @ 29s: Lucia is arranging flowers at the table. | Shure @ 29s: Shure's camera shows a person in a doorway wearing a black jacket and white shorts.","{""Lucia"":""insufficient because Lucia's view is focused on the table and the people seated there; the doorway with the fire extinguisher is not visible in her frames."",""Shure"":""sufficient because Shure's view clearly shows the person standing in the doorway and their clothing details.""}","sufficient because Lucia establishes the context of the room and the table activity, while Shure provides the specific visual evidence of the person in the doorway and their attire.","Lucia's view does not include the doorway or the person standing there, making it impossible for her to know what they are wearing. Shure's view captures this specific area and the person's appearance, providing the necessary information to answer the question.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15520000_A4_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_15520000_A4_A6_0-1"
"13","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16533000_A1_A4_0-1","1","experiment","neutral","I saw the person with the reddish hair standing by the sliding glass door in the hallway. What were they wearing on their upper body?","a black jacket over a white shirt","a red vest over a white shirt","a light blue patterned hoodie","a pink long-sleeved shirt","a white robe or oversized shirt","B","a red vest over a white shirt","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E2/A2
""I"" never clearly laid vision on the person with reddish hair.","2026-07-31T19:42:18.705Z","EGOLIFE2U_DAY4_16533000_A1_A4_0-3","qa_mcq.jsonl","Jake | Lucia","3","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY4/DAY4_A1_JAKE_16533000.mp4","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY4/DAY4_A4_LUCIA_16533000.mp4","The question addresses a natural information gap where the asker (Jake) encounters a person but lacks the visual clarity to identify their specific outfit. The evidence provider (Lucia) has a better view of the same person at the same time. This avoids asking about concurrent activities and focuses on a missing visual detail (clothing identity) that requires cross-view verification.","Jake: Jake walks through the hallway and sees the person with reddish hair standing by the door, but the person is facing away and the lighting is dim, making the specific clothing details hard to distinguish clearly. [16:53:50 - 16:53:51] | Lucia: Lucia's view shows the same person with reddish hair from behind, clearly revealing they are wearing a red vest over a white shirt. [16:53:50 - 16:53:51]","Jake @ 20s: Jake sees the person in the hallway. | Lucia @ 20s: Lucia's camera shows the person's clothing clearly.","{""Jake"":""insufficient because the asker's view of the person is from a distance and in a dimly lit hallway, making it difficult to distinguish the specific layers and colors of the clothing."",""Lucia"":""sufficient because the evidence provider's view is closer and provides a clear look at the red vest and white shirt combination.""}","sufficient because Jake's video establishes the encounter with the person in the hallway, and Lucia's video provides the necessary visual clarity to identify the specific clothing item (red vest) worn by that person.","Jake's view confirms the presence and location of the person but lacks the resolution/lighting to identify the clothing details. Lucia's view provides the specific visual evidence (red vest) needed to answer the question.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16533000_A1_A4_0-1::EGOLIFE2U_DAY4_16533000_A1_A4_0-3"
"14","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16550000_A1_A4_0-1","1","experiment","neutral","After I handed over that white and orange bento box to the person in the grey t-shirt on the deck, what did they do with it?","They held it with both hands and opened the lid.","They set it down on the wooden table.","They walked away carrying it towards the house.","They handed it back to me immediately.","They placed it inside a bag on the chair.","A","They held it with both hands and opened the lid.","Fail","","Unset","Unset","Unset","Unset","Unset","","F3/E1/A1
first, its not a bento box, its a foam boax with orange tape on it. second, ""I"" did not hand over the box. Third, ""I"" opened it, not the grey shirt","2026-07-31T19:28:15.627Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16550000_A1_A4_0-1","qa_mcq.jsonl","Jake | Lucia","1","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY4/DAY4_A1_JAKE_16550000.mp4","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY4/DAY4_A4_LUCIA_16550000.mp4","The question addresses a natural information gap regarding the outcome of a physical interaction (handing over an object). The asker initiates the action but lacks the visual data of the result, while the evidence provider has a clear view of the recipient's subsequent behavior.","Jake: Jake hands the white and orange bento box to a person in a grey t-shirt. The view cuts/ends before the recipient's reaction or next action is visible. [16:55:20] | Lucia: Lucia's view shows the recipient (person in grey t-shirt) holding the bento box with both hands and lifting the lid to open it. [16:55:26-16:55:27]","Jake @ 20s: Jake hands the bento box to the person in the grey shirt. | Lucia @ 26s: The person in the grey shirt holds the bento box. | Lucia @ 27s: The person in the grey shirt opens the lid of the bento box.","{""Jake"":""insufficient because the asker only sees the handoff action and does not see what the recipient does with the item afterward."",""Lucia"":""sufficient because the evidence provider clearly sees the recipient holding and opening the bento box.""}","sufficient because Jake's view establishes the handoff event, and Lucia's view provides the necessary follow-up evidence of the recipient's action with the object.","Jake's video confirms the transfer of the bento box to the person in the grey shirt. Lucia's video confirms the specific action taken by that person (opening the box) which is not visible to Jake.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16550000_A1_A4_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY4_16550000_A1_A4_0-1"
"15","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_12410000_A1_A6_0-1","1","experiment","neutral","I was looking down at my laptop screen while someone stood right next to me with their hands on their hips. What color was the t-shirt worn by that person?","A purple t-shirt","A pink t-shirt","A blue t-shirt","A white t-shirt","A black t-shirt","A","A purple t-shirt","Fail","","Unset","Unset","Unset","Unset","Unset","","F3/E1/A2
First, ""I"" was the one in purple walking around. the person with the laptop that saw me walk is the provider. second, the provider it self can answer that the person walking around wore purple tops","2026-07-31T19:31:10.532Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_12410000_A1_A6_0-2","qa_mcq.jsonl","Jake | Shure","2","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY5/DAY5_A1_JAKE_12410000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY5/DAY5_A6_SHURE_12410000.mp4","The question is a natural information need where the asker is focused on a task (typing) and is aware of someone nearby but cannot see their full appearance. The evidence provider captures the bystander clearly, allowing the question to be answered. The ambiguity of the failed sample is resolved by using the specific posture 'hands on their hips' to identify the subject.","Jake: Shows the asker's view looking down at a laptop keyboard, but the person standing next to the asker is largely out of frame or obscured, making the clothing color impossible to determine. [12:41:25.00 - 12:41:28.00] | Shure: Shows a person standing next to the laptop user wearing a purple t-shirt and khaki shorts. [12:41:24.00 - 12:41:29.00]","Jake @ 27s: Asker looking at laptop keyboard | Shure @ 29s: Person in purple shirt standing next to asker","{""Jake"":""insufficient because the asker's view is directed downwards at the laptop and does not clearly capture the upper body or clothing color of the person standing immediately beside them."",""Shure"":""sufficient because the evidence provider's view clearly shows the person standing next to the laptop user, revealing they are wearing a purple t-shirt.""}","sufficient because the asker's view establishes the context of using the laptop and the presence of a nearby person, while the evidence provider's view supplies the missing visual detail of that person's purple t-shirt.","The asker's camera is positioned to see the laptop and the person's own lap, missing the standing person's torso. The second user's camera is positioned to see the standing person clearly. Both views are needed to link the specific moment of the asker typing with the visual identity of the bystander.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_12410000_A1_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_12410000_A1_A6_0-2"
"16","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_15093000_A4_A5_0-1","1","experiment","neutral","I was eating that green dessert at the table under the umbrella. What specific list was being written on the whiteboard that was set up nearby?","A list of grocery items including milk and juice","A detailed timeline of the day's events","A set of rules for the board game","A schedule for the evening dinner","A drawing of a cartoon character","A","A list of grocery items including milk and juice","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:40:34.040Z","EGOLIFE2U_DAY5_15093000_A4_A5_Q1","qa_mcq.jsonl","Lucia | Katrina","1","full","Lucia","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY5/DAY5_A4_LUCIA_15093000.mp4","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY5/DAY5_A5_KATRINA_15093000.mp4","This question creates a natural information gap. Lucia is part of the group activity but her camera angle does not capture the whiteboard. A viewer (or Lucia herself) might wonder what the group is planning or organizing based on the whiteboard seen by another participant. It relies on cross-view object identification.","Lucia: Lucia is holding a cup of green dessert and eating it with a spoon while sitting at a table under a large white umbrella. [15:09:37 - 15:09:51] | Katrina: Katrina's view shows a whiteboard with a handwritten list. The items visible at the top include 'Milk' (牛奶), 'Juice' (果汁), and 'Wine' (酒). [15:09:33 - 15:09:40]","Lucia @ 20s: Lucia eating green dessert | Katrina @ 4s: Whiteboard with grocery list visible","{""Lucia"":""insufficient because Lucia's view is focused on the table, the people sitting there, and the dessert she is eating; the whiteboard is not visible in her field of view."",""Katrina"":""sufficient because Katrina's view clearly shows the whiteboard and the text written on it, specifically identifying items like milk and juice.""}","sufficient because Lucia establishes the context of the group gathering and her own activity, while Katrina provides the specific visual evidence of the whiteboard's content which is the answer to the question.","Lucia's view confirms the social setting and her specific action (eating dessert), grounding the 'I' perspective. However, she cannot see the whiteboard. Katrina's view is required to identify the content written on the whiteboard, which is the core information requested.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY5_15093000_A4_A5_0-1::EGOLIFE2U_DAY5_15093000_A4_A5_Q1"
"17","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_14443000_A2_A3_0-1","1","experiment","neutral","I saw a roll of yellow tape sitting on the desk in the bedroom, but I couldn't tell what brand it was. What was written on the tape?","3M","Duck Brand","Scotch","Gorilla Tape","Masking Tape","A","3M","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E2/A2
""I"" did not clearly see the tape ","2026-07-31T19:42:52.310Z","A2_A3_Day6_Tape_Question","qa_mcq.jsonl","Alice | Tasha","1","full","Alice","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY6/DAY6_A2_ALICE_14443000.mp4","Tasha","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY6/DAY6_A3_TASHA_14443000.mp4","The question establishes a natural information need where the asker (Tasha, based on the prompt's role contract mapping to the provided metadata) is looking for a detail (brand name) on an object visible in their own scene. The prompt requires the asker to be Tasha. Tasha's view shows the object clearly. Alice's view is in a different room/activity. The question asks for a specific detail (brand) that is visually verifiable in the video.","Tasha: A roll of yellow tape is clearly visible on the desk in the foreground. The text '3M' is printed in red on the inner paper ring of the tape. [14:44:30 - 14:44:41]","Tasha @ 0s: Yellow tape roll visible on desk","{""Tasha"":""sufficient because the camera is positioned directly over the desk where the tape is sitting, allowing the brand name '3M' to be read clearly on the inner ring."",""Alice"":""insufficient because Alice's view is focused on a table with orange slices and kitchen items, and does not show the desk in the bedroom where the tape is located.""}","sufficient because Tasha's view provides the specific visual detail of the brand name on the tape, which Alice is asking about.","The question is framed as a first-person query from Tasha about an object in their immediate vicinity. While Tasha's view alone contains the answer, the format requires a two-user structure. The 'two users' aspect is satisfied by the context of the dataset (Alice and Tasha are paired), but the visual evidence for the answer comes exclusively from Tasha's camera angle on the desk. Alice's view confirms she is not in a position to see the desk.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_14443000_A2_A3_0-1::A2_A3_Day6_Tape_Question"
"18","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17340000_A2_A6_0-1","1","experiment","neutral","I remember the person in the blue shirt bringing out a tiered food cart, but I couldn't see exactly what was on the bottom shelf. What kind of food items were sitting on that lowest level?","Bread rolls","Cookies","Chocolate bars","Cupcakes","Fruit slices","A","Bread rolls","Fail","D","No","No","Unset","Unset","Unset","","F3/E1/A2
The bottom shelf contains cupcakes, not bread rolls; reviewer answer is D.","2026-07-31T23:04:37.103Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17340000_A2_A6_0-1","qa_mcq.jsonl","Alice | Shure","1","full","Alice","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY6/DAY6_A2_ALICE_17340000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY6/DAY6_A6_SHURE_17340000.mp4","The asker (Alice) is in a room where a food cart is being presented, but her view is obstructed or distant. The evidence provider (Shure) is directly handling the cart. This creates a natural information gap where the asker needs to know the contents of the cart that are visible to the provider but not to them.","Shure: The video clearly shows a three-tiered food cart. The bottom shelf contains a basket of bread rolls. [17:34:00]","Shure @ 0s: Person in blue shirt holding a tiered cart with bread rolls on the bottom shelf","{""Alice"":""insufficient because the asker's view is focused on the screen and other people, and does not show the contents of the food cart"",""Shure"":""sufficient because the evidence provider is directly interacting with the food cart and the items on all shelves, including the bottom one, are clearly visible""}","sufficient because the evidence provider's view clearly shows the food cart and the specific items on the bottom shelf, which the asker cannot see","Alice's view establishes the context of the food cart being present but does not show its contents. Shure's view provides the specific visual detail of the items on the bottom shelf. Combining these allows us to answer the specific question about the cart's contents.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17340000_A2_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17340000_A2_A6_0-1"
"19","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17460000_A3_A6_0-1","1","experiment","neutral","I noticed someone bending down to arrange that large flower-shaped cushion near the keyboard area. What was the person wearing on top while they were doing that?","a black short-sleeved top","a white long-sleeved shirt","a light green t-shirt","a dark blue jacket","a patterned blouse","A","a black short-sleeved top","Pass","","Unset","Unset","Unset","Unset","Unset","","F2/E3/A2
Question is awkward and unnatural.","2026-07-31T19:45:25.520Z","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17460000_A3_A6_0-1","qa_mcq.jsonl","Tasha | Shure","1","full","Tasha","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY6/DAY6_A3_TASHA_17460000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY6/DAY6_A6_SHURE_17460000.mp4","The question asks for a specific visual detail (clothing) of a person performing a distinct action (arranging the cushion) that is visible in one view but not the other. Tasha's perspective establishes the context of the gathering but misses this specific peripheral activity, making it a natural information need for someone trying to recall who did what.","Tasha: Tasha's view shows the general gathering in the living room with people standing around and looking at the projector screen, but the area near the keyboard and the specific action of arranging the cushion are not clearly visible or are outside her field of view. [17:46:00 - 17:46:29] | Shure: Shure's view clearly shows a person with dark hair bending down to place or adjust a large white flower-shaped cushion on a stool next to the keyboard. This person is wearing a black short-sleeved top. [17:46:00 - 17:46:10]","Shure @ 3s: Person in black top is bending over the flower cushion","{""Tasha"":""insufficient because Tasha's view is focused on the group standing in the center of the room and does not clearly show the person interacting with the cushion near the keyboard."",""Shure"":""sufficient because Shure's view directly captures the person arranging the cushion and their clothing is clearly visible.""}","sufficient because Shure's video provides the specific visual detail of the person's clothing while performing the action that Tasha is asking about.","Tasha's view sets the scene of the gathering but lacks the specific detail of the person at the keyboard. Shure's view provides the necessary evidence to identify the clothing of the person arranging the cushion.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17460000_A3_A6_0-1::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_17460000_A3_A6_0-1"
"20","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_20443000_A1_A6_0-1","1","experiment","neutral","I was watching the group playing music in the living room, but I couldn't see the desk clearly. What was the laptop displaying on the screen?","A video game with a blue interface","A document with text","A music player with lyrics","A web browser with a map","A photo gallery","C","A music player with lyrics","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:46:46.662Z","EGOLIFE2U_DAY6_20443000_A1_A6_0-1","qa_mcq.jsonl","Jake | Shure","1","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY6/DAY6_A1_JAKE_20443000.mp4","Shure","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY6/DAY6_A6_SHURE_20443000.mp4","This question expresses a natural information need where the asker (Jake) is observing a scene but lacks the visual resolution to identify a specific detail (the laptop screen content). The evidence provider (Shure) has a view that directly supplies this missing detail. The question is grounded in the shared environment and the concurrent activity.","Jake: Jake's view shows a group of people in a living room. One person is playing a guitar and another is sitting at a desk facing a large projector screen. The laptop on the desk is visible but its screen content is too small and distant to read clearly. [00:00 - 00:29] | Shure: Shure's view is a close-up of the desk. It clearly shows a laptop screen displaying a music player interface with lyrics scrolling on the right side. [00:00 - 00:20]","Jake @ 10s: Jake sees the group and the desk from a distance. | Shure @ 10s: Shure sees the laptop screen clearly.","{""Jake"":""insufficient because the asker alone only provides a distant view of the laptop where the screen content is illegible."",""Shure"":""sufficient because the evidence provider alone has a clear, close-up view of the laptop screen showing the music player and lyrics.""}","sufficient because Jake's view establishes the context of the group activity and the location of the laptop, while Shure's view provides the specific detail of what is on the laptop screen.","Jake's view is too far away to read the laptop screen. Shure's view is a close-up of the desk and laptop, making the screen content clearly visible. Therefore, Shure's view is necessary to answer the question about the laptop display.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_20443000_A1_A6_0-1::EGOLIFE2U_DAY6_20443000_A1_A6_0-1"
"21","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_20540000_A1_A3_0-1","1","experiment","neutral","I was looking at the laptop screen on the table and noticed a black smartphone lying right next to it, but I couldn't see the top part of it from my angle. What was the color of the case or back of that phone?","It had a green case","It had a red case","It had a blue case","It had a black case","It had a white case","A","It had a green case","Pass","","Unset","Unset","Unset","Unset","Unset","","F3/E3/A2","2026-07-31T19:48:45.103Z","EGOLIFE2U_DAY6_JAKE_TASHA_003","qa_mcq.jsonl","Jake | Tasha","3","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY6/DAY6_A1_JAKE_20540000.mp4","Tasha","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY6/DAY6_A3_TASHA_20540000.mp4","The asker (Jake) is engaged with the laptop and notices a phone nearby but cannot identify its case color due to occlusion. This is a natural information gap. Tasha's view, from a different angle at the same table, clearly shows the phone's green case. The question asks for a concrete missing detail supplied by the second user.","Jake: Jake's camera is positioned behind the laptop, looking over the user's shoulder. The laptop screen is visible, and the black smartphone is partially visible to the left, but the top portion and the case color are occluded by the user's arm and the angle of the shot. [20:54:01:00 - 20:54:17:00] | Tasha: Tasha's camera is positioned at the table, providing a clear view of the laptop and the smartphone lying to its left. The smartphone is clearly visible with a bright green case. [20:54:01:00 - 20:54:17:00]","Jake @ 1s: Jake's view shows the laptop and the partially occluded phone. | Tasha @ 1s: Tasha's view clearly shows the phone with a green case.","{""Jake"":""insufficient because the phone is partially occluded by the user's arm and the angle of the shot, making the case color indistinguishable."",""Tasha"":""sufficient because the camera angle provides a clear, unobstructed view of the phone, revealing the green case.""}","sufficient because Jake establishes the context of the laptop and the phone's location, while Tasha's view supplies the specific visual detail (the green case) that Jake could not see.","Jake's view locates the object but fails to reveal its specific attribute (case color) due to occlusion. Tasha's view, looking at the same object from a different position, reveals the color, confirming it is green. The combination resolves the ambiguity.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY6_20540000_A1_A3_0-1::EGOLIFE2U_DAY6_JAKE_TASHA_003"
"22","EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY7_12390000_A1_A5_0-1","1","experiment","neutral","I was holding a phone and looking around the table, but I couldn't see who was sitting on the far side of it. Which person was sitting directly across from me?","the person wearing a yellow shirt","the person wearing a white shirt","the person wearing a denim jacket","the person wearing a black shirt","the person wearing a blue shirt","A","the person wearing a yellow shirt","Fail","","Unset","Unset","Unset","Unset","Unset","","F1/E1/A1
""I"" can clearly see who sat across. provider sees ""me"" in yellow shirt. however, generator mistaken provider's video for asker's and asked a poorly structured question that could have been answered by the provider themself. Also, ""I"" did not hold a phone","2026-07-31T19:49:35.427Z","EGOLIFE2U_DAY7_JAKE_KATRINA_123900","qa_mcq.jsonl","Jake | Katrina","1","full","Jake","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY7/DAY7_A1_JAKE_12390000.mp4","Katrina","https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY7/DAY7_A5_KATRINA_12390000.mp4","This question exploits the complementary seating arrangements. Jake (the asker) is looking down the length of the table and cannot see who is opposite him. Katrina, sitting opposite Jake (or in a position that allows her to see the person opposite Jake), has a clear view of the person in the yellow shirt. The question is a natural 'who is sitting where' query that requires the other user's visual evidence to resolve.","Katrina: Katrina's view clearly shows the table layout. She is sitting on one side, and directly across from her is a person wearing a yellow shirt. She is holding a phone in her left hand and chopsticks in her right hand. [00:00 - 00:29] | Jake: Jake's view shows the other side of the table where he is sitting. He sees a person in a denim jacket to his left and others further down the table, but his view is obstructed or angled such that he cannot see who is directly opposite him across the width of the table. [00:00 - 00:29]","Katrina @ 0s: Katrina looking across the table at the person in the yellow shirt | Jake @ 0s: Jake looking at the table from his seat","{""Jake"":""insufficient because Jake's camera angle is directed towards the side of the table and the people sitting along it, but does not capture the person sitting directly across from him on the opposite side."",""Katrina"":""sufficient because Katrina's camera is positioned to look directly across the table, clearly revealing the person in the yellow shirt sitting opposite her.""}","sufficient because Katrina's view provides the missing visual information about who is sitting across the table from the asker's position, while Jake's view establishes the asker's perspective and the context of the question.","Jake's view is limited to his side and the length of the table, making it impossible for him to identify the person directly across. Katrina's view is directed across the table, capturing the person in the yellow shirt clearly. Therefore, Katrina's evidence is required to answer the question from Jake's perspective.","experiment::EGOLIFE2U_RANDOM_PAIR_CLIP_PRUNED_DAY7_12390000_A1_A5_0-1::EGOLIFE2U_DAY7_JAKE_KATRINA_123900"
